term,surge_days,plunge_days,surge_rate,plunge_rate,surge_ratio,Direction
record,6,1,0.04081632653061224,0.0070921985815602835,0.8519637462235649,Surge
tweet,13,3,0.08843537414965986,0.02127659574468085,0.8060686015831134,Surge
sec,6,2,0.04081632653061224,0.014184397163120567,0.7421052631578947,Surge
month,6,3,0.04081632653061224,0.02127659574468085,0.6573426573426574,Surge
trial,4,2,0.027210884353741496,0.014184397163120567,0.6573426573426574,Surge
pay package,13,7,0.08843537414965986,0.04964539007092199,0.640461215932914,Surge
judge,7,4,0.047619047619047616,0.028368794326241134,0.6266666666666667,Surge
case,5,3,0.034013605442176874,0.02127659574468085,0.6151832460732984,Surge
pay deal,5,3,0.034013605442176874,0.02127659574468085,0.6151832460732984,Surge
investment,5,3,0.034013605442176874,0.02127659574468085,0.6151832460732984,Surge
white house,1,6,0.006802721088435374,0.0425531914893617,0.1378299120234604,Plunge
earnings,1,5,0.006802721088435374,0.03546099290780142,0.16095890410958902,Plunge
tariff,2,7,0.013605442176870748,0.04964539007092199,0.21510297482837526,Plunge
california,2,5,0.013605442176870748,0.03546099290780142,0.2772861356932153,Plunge
delaware,2,5,0.013605442176870748,0.03546099290780142,0.2772861356932153,Plunge
vehicle,2,5,0.013605442176870748,0.03546099290780142,0.2772861356932153,Plunge
price,4,8,0.027210884353741496,0.05673758865248227,0.32413793103448274,Plunge
job,2,4,0.013605442176870748,0.028368794326241134,0.32413793103448274,Plunge
law,2,4,0.013605442176870748,0.028368794326241134,0.32413793103448274,Plunge
model,3,6,0.02040816326530612,0.0425531914893617,0.32413793103448274,Plunge
