Week,Start_Date,End_Date,Start_Close,End_Close,Trading_Days,Total_Volume,article_count,positive_count,negative_count,Period_Return_pct,Mean_Sentiment
2022-12-31/2023-01-06,2023-01-03,2023-01-06,108.0999984741211,113.05999755859375,4,790689200,9.0,0.0,6.0,4.588343343649592,-0.4944006535742018
2023-01-07/2023-01-13,2023-01-09,2023-01-13,119.7699966430664,122.4000015258789,5,891852300,10.0,1.0,5.0,2.1958795662742947,-0.33769680857658385
2023-01-14/2023-01-20,2023-01-17,2023-01-20,131.49000549316406,133.4199981689453,4,691307300,10.0,0.0,3.0,1.4677865960554648,-0.27631263732910155
2023-01-21/2023-01-27,2023-01-23,2023-01-27,143.75,177.89999389648438,5,1095958300,10.0,3.0,2.0,23.75651749320653,0.1242787003517151
2023-01-28/2023-02-03,2023-01-30,2023-02-03,166.66000366210938,189.97999572753906,5,1091608900,11.0,1.0,6.0,13.992554633989585,-0.3811181892048229
2023-02-04/2023-02-10,2023-02-06,2023-02-10,194.75999450683594,196.88999938964844,5,973057500,9.0,2.0,0.0,1.0936562656032267,0.17628434631559584
2023-02-11/2023-02-17,2023-02-13,2023-02-17,194.63999938964844,208.30999755859375,5,1013262600,11.0,2.0,2.0,7.023221440511529,-0.026230140165849167
2023-02-18/2023-02-24,2023-02-21,2023-02-24,197.3699951171875,196.8800048828125,4,660435200,6.0,0.0,1.0,-0.24825973881392738,-0.14450183510780334
2023-02-25/2023-03-03,2023-02-27,2023-03-03,207.6300048828125,197.7899932861328,5,806720000,10.0,3.0,2.0,-4.739205011449787,0.057229870557785036
2023-03-04/2023-03-10,2023-03-06,2023-03-10,193.80999755859375,173.44000244140625,5,789636400,10.0,0.0,2.0,-10.510291199518296,-0.1831490695476532
2023-03-11/2023-03-17,2023-03-13,2023-03-17,174.47999572753906,180.1300048828125,5,711837700,9.0,0.0,1.0,3.2381988156947594,-0.10075629419750637
2023-03-18/2023-03-24,2023-03-20,2023-03-24,183.25,190.41000366210938,5,693958500,12.0,0.0,3.0,3.907232557767726,-0.2301209270954132
2023-03-25/2023-03-31,2023-03-27,2023-03-31,191.80999755859375,207.4600067138672,5,623640500,10.0,2.0,4.0,8.159120668615149,-0.1529180347919464
2023-04-01/2023-04-07,2023-04-03,2023-04-06,194.77000427246094,185.05999755859375,4,553750100,8.0,1.0,1.0,-4.985370694084912,0.002692960202693939
2023-04-08/2023-04-14,2023-04-10,2023-04-14,184.50999450683594,185.0,5,617553500,10.0,3.0,5.0,0.2655712469526561,-0.20951380133628844
2023-04-15/2023-04-21,2023-04-17,2023-04-21,187.0399932861328,165.0800018310547,5,668971700,9.0,0.0,7.0,-11.740799959014026,-0.7186508244938321
2023-04-22/2023-04-28,2023-04-24,2023-04-28,162.5500030517578,164.30999755859375,5,664901000,11.0,1.0,4.0,1.0827403714508188,-0.23675150221044367
2023-04-29/2023-05-05,2023-05-01,2023-05-05,161.8300018310547,170.05999755859375,5,559718500,12.0,1.0,4.0,5.085580939516343,-0.20144451161225638
2023-05-06/2023-05-12,2023-05-08,2023-05-12,171.7899932861328,167.97999572753906,5,582794600,11.0,2.0,2.0,-2.217822753067944,0.014011827382174406
2023-05-13/2023-05-19,2023-05-15,2023-05-19,166.35000610351562,180.13999938964844,5,575071900,10.0,1.0,4.0,8.28974618585323,-0.20177386403083802
2023-05-20/2023-05-26,2023-05-22,2023-05-26,188.8699951171875,193.1699981689453,5,685490800,10.0,1.0,1.0,2.2766999327181736,-0.027397739887237548
2023-05-27/2023-06-02,2023-05-30,2023-06-02,201.16000366210938,213.97000122070312,4,591958700,8.0,1.0,1.0,6.368063892119857,0.007623001933097839
2023-06-03/2023-06-09,2023-06-05,2023-06-09,217.61000061035156,244.39999389648438,5,848497600,10.0,1.0,2.0,12.3110119989855,-0.10698011517524719
2023-06-10/2023-06-16,2023-06-12,2023-06-16,249.8300018310547,260.5400085449219,5,811384500,12.0,0.0,3.0,4.28691775822414,-0.21934369206428528
2023-06-17/2023-06-23,2023-06-20,2023-06-23,274.45001220703125,256.6000061035156,4,721745000,9.0,0.0,0.0,-6.503918859384306,0.0
2023-06-24/2023-06-30,2023-06-26,2023-06-30,241.0500030517578,261.7699890136719,5,748633800,11.0,0.0,2.0,8.59572109503981,-0.14321113716472278
